,lam_2
0.0,0.9986591007039611
0.00075,0.900580913898398
0.0015,0.8664320778746962
0.0022500000000000003,0.838367654607462
0.003,0.8233882108252956
0.00375,0.8063259860657291
0.0045000000000000005,0.791258805097823
0.00525,0.7866430187368286
0.006,0.768471357271902
0.00675,0.7623426552646261
0.0075,0.7346272125754918
0.00825,0.7597372861638528
0.009000000000000001,0.7284699840847326
0.00975,0.7534664562507628
0.0105,0.7159263072760724
0.01125,0.7312047483899202
0.012,0.6994668994201224
0.012750000000000001,0.7070009206957705
0.0135,0.7143120543723158
0.01425,0.700988064726685
0.015,0.6994368686955071
0.01575,0.7010688884455141
0.0165,0.7014044482237626
0.01725,0.7238883042116181
0.018000000000000002,0.6755555119995529
0.01875,0.679255650860206
0.0195,0.6876966470277835
0.02025,0.6909240096613184
0.021,0.704315923571171
0.021750000000000002,0.6886840819225382
0.0225,0.6786052925625305
0.02325,0.671691060291766
0.024,0.6618545857992763
0.02475,0.6860430781599676
0.025500000000000002,0.6853194669054946
0.02625,0.6791905286655069
0.027,0.6897865610105125
0.02775,0.6931305727829714
0.0285,0.6745568526485791
0.02925,0.660254913739786
0.03,0.6449661585626426
0.03075,0.6672707741853277
0.0315,0.664035632892206
0.03225,0.6652201753539044
0.033,0.6561428589905087
0.03375,0.679639139062513
0.0345,0.6611025528346298
0.035250000000000004,0.6667260124257514
0.036000000000000004,0.6795959559362579
0.03675,0.6785521226824001
0.0375,0.6721547750393506
0.03825,0.673840157924031
0.039,0.6583305573111434
0.03975,0.654303275281899
0.0405,0.6503791005251086
0.04125,0.6407931534240888
0.042,0.645861710881017
0.04275,0.6768051242405376
0.043500000000000004,0.636656743876715
0.04425,0.6682855745728898
0.045,0.6426020860650039
0.04575,0.6535290219298202
0.0465,0.6664828632215589
0.04725,0.6583894758402015
0.048,0.6414989314511625
0.04875,0.6480219299153545
0.0495,0.6704434638231194
0.05025,0.66130494877517
0.051000000000000004,0.6737498410151213
0.051750000000000004,0.6354503255118733
0.0525,0.6544082168925051
0.05325,0.6409797844661811
0.054,0.6545726578032888
0.05475,0.6585233732883579
0.0555,0.6434558055549336
0.05625,0.6350291604316762
0.057,0.650932746653405
0.05775,0.6310755888282114
0.0585,0.6529868471408476
0.059250000000000004,0.6359367397329702
0.06,0.6362937251476529
0.06075,0.6567462855722777
0.0615,0.6288209124482482
0.06225,0.6551120122521981
0.063,0.6535384095427429
0.06375,0.6437209752342511
0.0645,0.6472267133183435
0.06525,0.6415606781074464
0.066,0.6322819462892071
0.06675,0.6503526367195853
0.0675,0.6703020417775308
0.06825,0.6503362023626571
0.069,0.6543998317258296
0.06975,0.6362210516547346
0.07050000000000001,0.6383323609933947
0.07125000000000001,0.6335378518126098
0.07200000000000001,0.6620239506617103
0.07275,0.6512082619054357
0.0735,0.6457466844753129
0.07425,0.6371259855292197
0.075,0.6445014237323722
0.07575,0.6069109562316694
0.0765,0.6500333045353585
0.07725,0.6690879520260129
0.078,0.6598793379618993
0.07875,0.6343047445650065
0.0795,0.6421582209340466
0.08025,0.6352046942649852
0.081,0.6488940653142206
0.08175,0.6320594337476806
0.0825,0.6779751041731579
0.08325,0.6400452976116131
0.084,0.644525779234258
0.08475,0.645207209772996
0.0855,0.6421375559739392
0.08625000000000001,0.6579267196078541
0.08700000000000001,0.6474947062192798
0.08775000000000001,0.6106547488246726
0.0885,0.6405556634599688
0.08925,0.6370261730878929
0.09,0.6206562760542762
0.09075,0.607918268958018
0.0915,0.6484552838460541
0.09225,0.6795293691328512
0.093,0.6186044065058297
0.09375,0.6082148958642455
0.0945,0.6801448025795293
0.09525,0.675883597846031
0.096,0.6553165014185095
0.09675,0.6088160298274419
0.0975,0.6486937279353263
0.09825,0.6282293241723986
0.099,0.6091296653765639
0.09975,0.6408410279848626
0.1005,0.654394640008406
0.10125,0.6454334978902169
0.10200000000000001,0.644970366428717
0.10275000000000001,0.6622603898035766
0.10350000000000001,0.637538635296066
0.10425,0.6422161087163961
0.105,0.6712003138131886
0.10575,0.6357727692245978
0.1065,0.6704478316927125
0.10725,0.6513603599422234
0.108,0.6335642287470222
0.10875,0.6323937771238417
0.1095,0.6237628278478753
0.11025,0.6536601458593977
0.111,0.6458820853862247
0.11175,0.6448045193458077
0.1125,0.6490535498054127
0.11325,0.6458959893265593
0.114,0.6542875123832601
0.11475,0.6383159068051436
0.1155,0.6513074542871219
0.11625,0.6535477706344713
0.117,0.6419079148851535
0.11775000000000001,0.6286925864487978
0.11850000000000001,0.6103582184242068
0.11925000000000001,0.6266540473826138
0.12,0.6207902601481665
0.12075,0.6254290420527916
0.1215,0.6058514000593698
0.12225,0.6264508913186586
0.123,0.6603112949988365
0.12375,0.6521135543826416
0.1245,0.6366609512010305
0.12525,0.6666376294612345
0.126,0.6434278920755419
0.12675,0.6527296494625265
0.1275,0.6378893351472301
0.12825,0.633213657469193
0.129,0.6344070878128413
0.12975,0.6292927816010316
0.1305,0.6295368022493587
0.13125,0.634998209186144
0.132,0.6319646603799832
0.13275,0.6277693097807429
0.1335,0.6298103066082712
0.13425,0.6680115372327194
0.135,0.6127610343140104
0.13575,0.6248083836356445
0.1365,0.6501391117042549
0.13725,0.6768645667294128
0.138,0.6511777282468021
0.13875,0.6623844724940378
0.1395,0.665565941305398
0.14025,0.6399540910987139
0.14100000000000001,0.6658265794887808
0.14175000000000001,0.6380865531880234
0.14250000000000002,0.630606009352276
0.14325000000000002,0.6211478436976924
0.14400000000000002,0.6348436497941531
0.14475,0.6477295570256463
0.1455,0.6470815603917122
0.14625,0.6208231304776606
0.147,0.6047486522016735
0.14775,0.650680014747516
0.1485,0.6193752018857767
0.14925,0.6482659353660594
0.15,0.6220222083676203
0.15075,0.6087309151266239
0.1515,0.6602325951165386
0.15225,0.666533701186133
0.153,0.6544489869365713
0.15375,0.6533500771149617
0.1545,0.6478145645586131
0.15525,0.6499653560818657
0.156,0.5869082376716326
0.15675,0.6402521127564815
0.1575,0.6346555974359807
0.15825,0.6272957261082821
0.159,0.639443193282327
0.15975,0.6539332221069458
0.1605,0.5997646460452339
0.16125,0.6243162880364579
0.162,0.6559828449763195
0.16275,0.6455971662782761
0.1635,0.6416952512421487
0.16425,0.6262522651164772
0.165,0.664502831533574
0.16575,0.6621440619806488
0.1665,0.6615812160457434
0.16725,0.6302060990352155
0.168,0.6153497479166337
0.16875,0.620851620127397
0.1695,0.6029461562857859
0.17025,0.6604820286755052
0.171,0.644998847272814
0.17175,0.6445675145092427
0.17250000000000001,0.638048608577943
0.17325000000000002,0.6346682322974408
0.17400000000000002,0.6505011258405273
0.17475000000000002,0.6292506118219492
0.17550000000000002,0.6270126532274733
0.17625,0.6333501015267243
0.177,0.6798077706584845
0.17775,0.6652735879075597
0.1785,0.6622906871449719
0.17925,0.6078791783300982
0.18,0.6645402794004786
0.18075,0.6444696989990495
0.1815,0.6123230611725413
0.18225,0.6451617394724706
0.183,0.6072944788969068
0.18375,0.6464049296031182
0.1845,0.6712477473827062
0.18525,0.6657599117538657
0.186,0.6775176142818656
0.18675,0.664599136976675
0.1875,0.6646246614154253
0.18825,0.6579436360115959
0.189,0.6376775190050588
0.18975,0.619608926510913
0.1905,0.6589602028938113
0.19125,0.6469012036117162
0.192,0.6698952011270994
0.19275,0.6589234094586649
0.1935,0.6660961532704094
0.19425,0.6677518871222151
0.195,0.6348005090388256
0.19575,0.6450858701685072
0.1965,0.6513996196965554
0.19725,0.6353084109956064
0.198,0.6440710730739251
0.19875,0.6538829078346583
0.1995,0.6183125979258707
0.20025,0.6125634718274967
0.201,0.6218749774123717
0.20175,0.6113544317512506
0.2025,0.5889809536572346
0.20325000000000001,0.6130181724699812
0.20400000000000001,0.6224343929316275
0.20475000000000002,0.6340743251421197
0.20550000000000002,0.5941881294755768
0.20625000000000002,0.6211095629174102
0.20700000000000002,0.6142560912425064
0.20775000000000002,0.6105899289393435
0.2085,0.596738350276268
0.20925,0.6035584504193073
0.21,0.6122465743838843
0.21075,0.6619828688181386
0.2115,0.6524828018999096
0.21225,0.6370784092692725
0.213,0.6436943163606454
0.21375,0.6293358046476526
0.2145,0.6107071113218052
0.21525,0.6412857530274065
0.216,0.640282709311757
0.21675,0.6314655558467841
0.2175,0.6351404583318753
0.21825,0.637901220015207
0.219,0.6332165906201939
0.21975,0.6314458245643684
0.2205,0.6193227945076406
0.22125,0.6464339554836855
0.222,0.6396037673261804
0.22275,0.6803244368038945
0.2235,0.661805144206184
0.22425,0.6852905231170707
0.225,0.6568448522537585
0.22575,0.658210209566583
0.2265,0.6773402316834976
0.22725,0.6886215141844501
0.228,0.6466333479359518
0.22875,0.6671068904847268
0.2295,0.659767314601107
